duchy_name,kingdom_name_867,empire_name_867,county_count_867,barony_count_867,average_development_867,special_buildings,alternative_names,capital_county_name,duchy_id,start_date,source
Mugodzhar Hills,Caspian Steppe,Khazaria,4,11,0,,,Mugodzhar Hills,d_mugodzhar_hills,867,CK3 Wiki List of duchies
Aqtobe,Caspian Steppe,Khazaria,5,12,0,,,Aqtobe,d_aqtobe,867,CK3 Wiki List of duchies
Atyrau,Caspian Steppe,Khazaria,4,12,0,,,Atyrau,d_atyrau,867,CK3 Wiki List of duchies
Manatau,Caspian Steppe,Khazaria,3,7,0,,,Manatau,d_manatau,867,CK3 Wiki List of duchies
Volga-Bulgaria,Volga Bulgaria,Volga-Ural,5,17,1,,,Bolghar,d_volga_bulgaria,867,CK3 Wiki List of duchies
Kazan,Volga Bulgaria,Volga-Ural,5,14,0,,,Kazan,d_kazan,867,CK3 Wiki List of duchies
Jalmat,Volga Bulgaria,Volga-Ural,3,8,0,,,Jalmat,d_jalmat,867,CK3 Wiki List of duchies
Bugurslan,Volga Bulgaria,Volga-Ural,3,8,0,,,Bugurslan,d_bugurslan,867,CK3 Wiki List of duchies
Martyuba,Volga Bulgaria,Volga-Ural,2,6,0,,,Martyuba,d_martyuba,867,CK3 Wiki List of duchies
Mordvinia,Mordvinia,Volga-Ural,3,8,0,,,Cheboksary,d_mordvinia,867,CK3 Wiki List of duchies
Saran,Mordvinia,Volga-Ural,3,7,0,,,Saran,d_saran,867,CK3 Wiki List of duchies
Voronezh,Mordvinia,Volga-Ural,4,10,0,,"Voronej (Mordvin, Merya, Meshchera, Mari, Muroma)",Voronezh,d_voronezh,867,CK3 Wiki List of duchies
Chuvashia,Mordvinia,Volga-Ural,4,13,0,,Burtasia (Turkish),Sar Atau,d_chuvashia,867,CK3 Wiki List of duchies
Khopyor,Mordvinia,Volga-Ural,3,10,0,,,Khopyor,d_khopyor,867,CK3 Wiki List of duchies
Tambov,Mordvinia,Volga-Ural,3,7,0,,,Tambov,d_tambov,867,CK3 Wiki List of duchies
Perm,Permia,Volga-Ural,4,16,0,Grand Temple,,Perm,d_perm,867,CK3 Wiki List of duchies
Ural,Permia,Volga-Ural,3,10,0,,,Ural,d_ural,867,CK3 Wiki List of duchies
Udmurtia,Permia,Volga-Ural,4,14,0,,,Kargadan,d_udmurtia,867,CK3 Wiki List of duchies
Bashkiria,Bashkiria,Volga-Ural,3,6,0,,,Bashkort,d_bashkiria,867,CK3 Wiki List of duchies
Sakmara,Bashkiria,Volga-Ural,2,6,0,,,Sakmara,d_sakmara,867,CK3 Wiki List of duchies
Uraltau,Bashkiria,Volga-Ural,4,12,0,,,Uraltau,d_uraltau,867,CK3 Wiki List of duchies
Vogulia,Bashkiria,Volga-Ural,3,10,0,,,Yekaterinburg,d_vogulia,867,CK3 Wiki List of duchies
Ostyaki,Yugra,Siberia,4,12,0,Grand Temple,,Tyumen,d_ostyaki,867,CK3 Wiki List of duchies
Konda,Yugra,Siberia,3,8,0,,,Tselym Dalyn,d_konda,867,CK3 Wiki List of duchies
Pelym,Yugra,Siberia,2,6,0,,,Pelym,d_pelym,867,CK3 Wiki List of duchies
Kazym,Yugra,Siberia,3,8,0,Grand Temple,,Kazym,d_kazym,867,CK3 Wiki List of duchies
Sibir,Sibir,Siberia,4,12,0,,,Sibir,d_sibir,867,CK3 Wiki List of duchies
Ishim,Sibir,Siberia,2,8,0,,,Ishim,d_ishim,867,CK3 Wiki List of duchies
Tara,Sibir,Siberia,3,10,0,,,Tara,d_tara,867,CK3 Wiki List of duchies
Lanikaz,Sibir,Siberia,3,12,0,,,Om,d_lanikaz,867,CK3 Wiki List of duchies
Salair,Ob,Siberia,5,16,0,Grand Temple,,Ob,d_salair,867,CK3 Wiki List of duchies
Aley,Ob,Siberia,3,10,0,,,Aley,d_aley,867,CK3 Wiki List of duchies
Altaishan,Ob,Siberia,2,6,0,Grand Temple,,Terektai,d_altaishan,867,CK3 Wiki List of duchies
Ala Tau,Ob,Siberia,8,24,0,,,Eushta,d_ala_tau,867,CK3 Wiki List of duchies
Vasyugan Mire,Ob,Siberia,4,13,0,,,Vasyugan,d_vasyugan_mire,867,CK3 Wiki List of duchies
Baraba Steppe,Ob,Siberia,5,15,0,,,Kolyvan,d_baraba_steppe,867,CK3 Wiki List of duchies
Kulyndy Steppe,Ob,Siberia,4,15,0,,,Kulunda,d_kulyndy_steppe,867,CK3 Wiki List of duchies
Orkhon,Ötüken,Mongolia,4,17,2,Grand Temple,,Karakorum,d_orkhon,867,CK3 Wiki List of duchies
Ögräsh,Ötüken,Mongolia,4,15,0,Burkhan Khaldun,,Örgöö,d_ogrash,867,CK3 Wiki List of duchies
Selenga Valley,Ötüken,Mongolia,5,16,0,,,Selenga,d_selenga_valley,867,CK3 Wiki List of duchies
Onon,Ötüken,Mongolia,4,14,0,,,Jiangbian,d_EM_onon,867,CK3 Wiki List of duchies
Yujuelu,Ötüken,Mongolia,3,10,0,,,Yujuelu,d_EM_yujuelu,867,CK3 Wiki List of duchies
Wajiezi,Ötüken,Mongolia,4,11,0,,,Shilka,d_EM_wajiezi,867,CK3 Wiki List of duchies
Övörkhangai,Naimania,Mongolia,6,19,0,,,Tövkhön,d_ovorkhangai,867,CK3 Wiki List of duchies
Arkhangai,Naimania,Mongolia,3,7,0,,,Tarvagatai,d_arkhangai,867,CK3 Wiki List of duchies
Khövsgöl,Naimania,Mongolia,3,8,0,,,Darkhad Valley,d_khovsgol,867,CK3 Wiki List of duchies
Gobi-Altai,Naimania,Mongolia,3,8,0,,,Tseel,d_gobi_altai,867,CK3 Wiki List of duchies
Ubsunur Hollow,Naimania,Mongolia,3,9,0,,,Uvs Nuur,d_ubsunur_hollow,867,CK3 Wiki List of duchies
Zavkhan,Naimania,Mongolia,3,9,0,,,Uliastai,d_zavkhan,867,CK3 Wiki List of duchies
Khovd,Naimania,Mongolia,2,6,0,,,Harhiraa,d_khovd,867,CK3 Wiki List of duchies
Togina,Tuva,Mongolia,3,9,0,,,Arzhan,d_togina,867,CK3 Wiki List of duchies
Tannu-Ola,Tuva,Mongolia,3,7,0,,,Eastern Tannu,d_tannu_ola,867,CK3 Wiki List of duchies
Katu-Yaryk,Tuva,Mongolia,2,4,0,,,Katu-Yaryk,d_katu_yaryk,867,CK3 Wiki List of duchies
Aksayan,Tuva,Mongolia,3,8,0,,,Stoyanka,d_western_sayan,867,CK3 Wiki List of duchies
Khakass Hollow,Khakassia,Mongolia,3,9,0,,,Abakan,d_khakass_hollow,867,CK3 Wiki List of duchies
Blue Khakassia,Khakassia,Mongolia,3,10,0,,,Kizir,d_blue_khakassia,867,CK3 Wiki List of duchies
Shoria,Khakassia,Mongolia,3,9,0,,,Kuzbas,d_shoria,867,CK3 Wiki List of duchies
Kargassia,Khakassia,Mongolia,3,9,0,,,Burugu Aallar,d_kargassia,867,CK3 Wiki List of duchies
Eastern Sayan,Khakassia,Mongolia,4,11,0,,,Karauda,d_eastern_sayan,867,CK3 Wiki List of duchies
Uda Valley,Buryatia,Mongolia,2,7,0,,,Uda,d_uda_valley,867,CK3 Wiki List of duchies
Dauria,Buryatia,Mongolia,4,12,0,,,Bargajan,d_dauria,867,CK3 Wiki List of duchies
Bargujin Tukum,Buryatia,Mongolia,4,12,0,,,Kotera,d_bargujin_tukum,867,CK3 Wiki List of duchies
Baigaluuls,Buryatia,Mongolia,2,7,0,,,Baigaluuls,d_baigaluuls,867,CK3 Wiki List of duchies
Tsagaanbaigal,Buryatia,Mongolia,3,9,0,Grand Temple,,Olkhon,d_tsagaanbaigal,867,CK3 Wiki List of duchies
Yenisei-Kan,Angara,Mongolia,5,15,0,,Gorlog (Buryat)Kim Sug (Uriankhai),Kyzyl Char,d_yenisei_kan,867,CK3 Wiki List of duchies
Üd Valley,Angara,Mongolia,3,11,0,,Chuna Valley (Russian),Üd,d_chuna_valley,867,CK3 Wiki List of duchies
Eülge,Angara,Mongolia,3,8,0,,Eülkhe (Buryat)Lena (Russian),Eülge,d_lena,867,CK3 Wiki List of duchies
Angara,Angara,Mongolia,4,12,0,,"Angar (Mongol, Buryat, Oirat, Naiman, Kerait, Khitan, Jurchen, Uriankhai, Kirghiz, Uyghur)",Kitoï,d_angara,867,CK3 Wiki List of duchies
Tataria,Gobi,Mongolia,4,14,0,,,Zhen,d_em_tataria,867,CK3 Wiki List of duchies
Wuguguo,Gobi,Mongolia,4,13,0,,,Hepung,d_em_wuguguo,867,CK3 Wiki List of duchies
Dadaels,Gobi,Mongolia,2,6,0,,,Dadaels,d_gobi_dadaels,867,CK3 Wiki List of duchies
Shatuoguo,Gobi,Mongolia,5,10,0,,,Dorngovi,d_gobi_shatuoguo,867,CK3 Wiki List of duchies
Ongi,Gobi,Mongolia,3,6,0,,,Ongi Gol,d_gobi_ongi,867,CK3 Wiki List of duchies
Zhetysu,Zhetysu,Tartaria,6,20,0,Grand Temple,,Qayaliq,d_zhetysu,867,CK3 Wiki List of duchies
Alakol,Zhetysu,Tartaria,5,14,0,,,Chuguchak,d_alakol,867,CK3 Wiki List of duchies
Tarbagatai,Zhetysu,Tartaria,4,12,0,,,Emil,d_tarbagatai,867,CK3 Wiki List of duchies
Ili-Alatau,Zhetysu,Tartaria,3,10,0,,,Iliq,d_ili-alatau,867,CK3 Wiki List of duchies
Aqturgay,Uly Dala,Tartaria,4,9,0,,,Turgay,d_turgay,867,CK3 Wiki List of duchies
Kökturgay,Uly Dala,Tartaria,3,7,0,,,Jilali,d_kokturgay,867,CK3 Wiki List of duchies
Qarasaryarka,Uly Dala,Tartaria,4,11,0,,,Teniz,d_saryarka,867,CK3 Wiki List of duchies
Qyzylsaryarka,Uly Dala,Tartaria,3,8,0,,,Eghiz Kara,d_qyzylsaryarka,867,CK3 Wiki List of duchies
Kazakh,Uly Dala,Tartaria,4,11,0,,,Akmola,d_kazakh,867,CK3 Wiki List of duchies
Atbasar,Qara Dala,Tartaria,3,6,0,,,Atbasar,d_atbasar,867,CK3 Wiki List of duchies
Kurgan,Qara Dala,Tartaria,3,7,0,,,Kurgan,d_kurgan,867,CK3 Wiki List of duchies
Kush-Murun,Qara Dala,Tartaria,3,7,0,,,Kush-Murun,d_kush-murun,867,CK3 Wiki List of duchies
Tobol-Ishim,Qara Dala,Tartaria,2,6,0,,,Kyzylzhar,d_tobol-ishim,867,CK3 Wiki List of duchies
Karkaraly,Saryarka,Tartaria,3,8,0,,,Karkaraly,d_karkaraly,867,CK3 Wiki List of duchies
Tokumbay,Saryarka,Tartaria,3,6,0,,,Tokumbay,d_tokumbay,867,CK3 Wiki List of duchies
Karabas,Saryarka,Tartaria,4,10,0,,,Karabas,d_karabas,867,CK3 Wiki List of duchies
Betpa,Saryarka,Tartaria,4,9,0,,,Betpa,d_betpa,867,CK3 Wiki List of duchies
Semey,Kipchak,Tartaria,4,10,0,,,Semey,d_semey,867,CK3 Wiki List of duchies
Jinghiz,Kipchak,Tartaria,3,6,0,,,Jinghiz,d_jinghiz,867,CK3 Wiki List of duchies
Degelen,Kipchak,Tartaria,3,6,0,,,Degelen,d_degelen,867,CK3 Wiki List of duchies
Kentarlau,Kipchak,Tartaria,4,12,0,,,Kulan-Uynak,d_kentarlau,867,CK3 Wiki List of duchies
Kara Khoja,Dzungaria,Tartaria,4,12,2,Grand Temple,Qocho (Uyghur)Gaochan (Han),Kara Khoja,d_kara_khoja,867,CK3 Wiki List of duchies
Beshbalik,Dzungaria,Tartaria,4,12,2,,Ürümqi (Mongol)Yizhou (Han),Beshbalik,d_beshbalik,867,CK3 Wiki List of duchies
Kökaltay,Dzungaria,Tartaria,4,11,0,,,Altay,d_altay,867,CK3 Wiki List of duchies
Akaltay,Dzungaria,Tartaria,3,9,0,,,Agairik,d_akaltay,867,CK3 Wiki List of duchies
Gurbantünggüt,Dzungaria,Tartaria,4,10,0,,,Hoboksar,d_gurbantunggut,867,CK3 Wiki List of duchies
Naiman Gobi,Dzungaria,Tartaria,4,10,0,,,Balgun,d_naiman_gobi,867,CK3 Wiki List of duchies
Khotan,Khotan,Turan,5,17,4,Khotan Mining SettlementGrand Temple,,Khotan,d_khotan,867,CK3 Wiki List of duchies
Kashgar,Khotan,Turan,5,17,5,,,Kashgar,d_kashgar,867,CK3 Wiki List of duchies
Karashar,Khotan,Turan,4,18,6,,,Karashar,d_karashar,867,CK3 Wiki List of duchies
Charkliq,Khotan,Turan,3,7,2,Great Fire Temple,,Charkliq,d_charkliq,867,CK3 Wiki List of duchies
Loulan,Khotan,Turan,3,8,2,,,Loulan,d_loulan,867,CK3 Wiki List of duchies
Mangyshlak,Oghuz il,Turan,4,10,0,,,Mangyshlak,d_transcaspiana,867,CK3 Wiki List of duchies
Garabogazkol,Oghuz il,Turan,3,6,0,,,Garabogazkol,d_garabogazkol,867,CK3 Wiki List of duchies
Jemba,Oghuz il,Turan,6,14,0,,,Qoshagyl,d_jemba,867,CK3 Wiki List of duchies
Aral il,Oghuz il,Turan,5,15,0,,,Yangikent,d_aral_il,867,CK3 Wiki List of duchies
Barsuki,Oghuz il,Turan,3,6,0,,,Barsuki,d_barsuki,867,CK3 Wiki List of duchies
Aral Karakum,Oghuz il,Turan,3,6,0,,,Terekli,d_aral_karakum,867,CK3 Wiki List of duchies
Syr Darya,Syr Darya,Turan,3,11,3,,,Jend,d_syr_darya,867,CK3 Wiki List of duchies
Chah,Syr Darya,Turan,4,15,3,,,Chah,d_chah,867,CK3 Wiki List of duchies
Muyunkum,Syr Darya,Turan,3,7,0,,,Shelji,d_muyunkum,867,CK3 Wiki List of duchies
Talas Alatau,Syr Darya,Turan,4,13,1,,,Balashagun,d_talas_alatau,867,CK3 Wiki List of duchies
Soghd,Transoxiana,Turan,7,28,8,Ark of BukharaShah-i-Zinda,,Bukhara,d_soghd,867,CK3 Wiki List of duchies
Badakhshan,Transoxiana,Turan,5,17,4,Sar-i Sang Ancient Mine,,Badakhshan,d_badakhshan,867,CK3 Wiki List of duchies
Khuttal,Transoxiana,Turan,4,16,5,Great Fire Temple,,Khuttal,d_khuttal,867,CK3 Wiki List of duchies
Osrushana,Transoxiana,Turan,2,9,6,,,Oshrusana,d_osrushana,867,CK3 Wiki List of duchies
Ferghana,Transoxiana,Turan,6,26,7,,,Ferghana,d_ferghana,867,CK3 Wiki List of duchies
Khwarezm,Transoxiana,Turan,7,25,4,Great Fire Temple,,Gurganj,d_khorezm,867,CK3 Wiki List of duchies
Uzboy,Transoxiana,Turan,4,11,3,,,Kurtysh,d_uzboy,867,CK3 Wiki List of duchies
Isfahan,Persia,Persian Empire,4,15,9,The Friday MosqueUniversity,,Isfahan,d_isfahan,867,CK3 Wiki List of duchies
Kirman,Persia,Persian Empire,5,21,7,,,Kirman,d_kirman,867,CK3 Wiki List of duchies
Yazd,Persia,Persian Empire,3,14,6,Great Fire Temple,,Yazd,d_yazd,867,CK3 Wiki List of duchies
Rayy,Persia,Persian Empire,3,10,8,Grand Mosque,,Rayy,d_rayy,867,CK3 Wiki List of duchies
Hamadan,Persia,Persian Empire,3,12,6,Grand Temple,,Hamadan,d_hamadan,867,CK3 Wiki List of duchies
Fars,Persia,Persian Empire,7,31,8,Lake MaharlooTomb of BatshebaGrand TempleGreat Fire Temple,,Shiraz,d_fars,867,CK3 Wiki List of duchies
Hormuz,Persia,Persian Empire,2,8,9,,,Hormuz,d_hormuz,867,CK3 Wiki List of duchies
Khuzestan,Persia,Persian Empire,6,22,6,Grand Temple,,Ahvaz,d_khuzestan,867,CK3 Wiki List of duchies
Kermanshah,Persia,Persian Empire,3,10,6,Falak-ol-Aflak,,Kermanshah,d_kermanshah,867,CK3 Wiki List of duchies
Nishapur,Khorasan,Persian Empire,6,21,7,Nishapur Mining PitsGreat Fire TempleSanctuary of Imam Reza,,Nishapur,d_nishapur,867,CK3 Wiki List of duchies
Merv,Khorasan,Persian Empire,7,28,7,Great Kyz Kala,,Merv,d_merv,867,CK3 Wiki List of duchies
Ghur,Khorasan,Persian Empire,3,10,4,Minaret of Jam,,Ghur,d_ghur,867,CK3 Wiki List of duchies
Herat,Khorasan,Persian Empire,5,16,4,Grand Mosque,,Herat,d_herat,867,CK3 Wiki List of duchies
Balkh,Khorasan,Persian Empire,3,14,6,Great Fire Temple,,Balkh,d_balkh,867,CK3 Wiki List of duchies
Nasa,Khorasan,Persian Empire,2,6,3,,,Abivard,d_nasa,867,CK3 Wiki List of duchies
Kohestan,Khorasan,Persian Empire,2,10,3,,,Qain,d_kohestan,867,CK3 Wiki List of duchies
Daylam,Daylam,Persian Empire,3,9,6,Dome of SoltaniyehAlamut Castle,,Gilan,d_daylam,867,CK3 Wiki List of duchies
Tabaristan,Daylam,Persian Empire,3,9,6,Mount Damavand,,Mazandaran,d_tabaristan,867,CK3 Wiki List of duchies
Gurgan,Daylam,Persian Empire,2,8,5,Great Wall of GorganGreat Wall of Gorgan,,Gurgan,d_gurgan,867,CK3 Wiki List of duchies
Azerbaijan,Daylam,Persian Empire,6,26,5,Rainbow MountainsGreat Fire Temple,,Tabriz,d_azerbaijan,867,CK3 Wiki List of duchies
Shirvan,Daylam,Persian Empire,4,17,6,,,Shirvan,d_shirvan,867,CK3 Wiki List of duchies
Makran,Makran,Persian Empire,5,24,4,,,Panjgur,d_makran,867,CK3 Wiki List of duchies
Jabal Kufs,Makran,Persian Empire,3,14,5,Great Fire Temple,,Bampur,d_jabal_kufs,867,CK3 Wiki List of duchies
Sistan,Makran,Persian Empire,5,23,6,Grand Temple,,Zaranj,d_sistan,867,CK3 Wiki List of duchies
Kabulistan,Kabulistan,Persian Empire,3,11,5,Grand TempleBuddhas of BamianPansjhir Mining Settlement,,Kabul,d_kabul,867,CK3 Wiki List of duchies
Zabulistan,Kabulistan,Persian Empire,4,17,5,,,Ghazna,d_zabulistan,867,CK3 Wiki List of duchies
Samarra,Mesopotamia,Persian Empire,4,15,8,Great Mosque of Samarra,,Samarra,d_samarra,867,CK3 Wiki List of duchies
Wasit,Mesopotamia,Persian Empire,2,5,8,,,Wasit,d_wasit,867,CK3 Wiki List of duchies
Kufa,Mesopotamia,Persian Empire,6,15,7,Imam Ali MosqueGrand Temple,,Kufa,d_kufa,867,CK3 Wiki List of duchies
Basra,Mesopotamia,Persian Empire,3,11,9,Grand Mosque,,Basra,d_basra,867,CK3 Wiki List of duchies
Baghdad,Mesopotamia,Persian Empire,5,16,12,House of WisdomRuins of the Palace of CtesiphonUniversity,,Baghdad,d_baghdad,867,CK3 Wiki List of duchies
Diyarrabia,Jazira,Persian Empire,6,27,7,Grand TempleGrand Temple,,Mosul,d_diyarrabia,867,CK3 Wiki List of duchies
Diyarmudar,Jazira,Persian Empire,3,8,7,,,Raqqa,d_diyarmudar,867,CK3 Wiki List of duchies
Diyarbakr,Jazira,Persian Empire,5,20,5,,,Amida,d_diyarbakr,867,CK3 Wiki List of duchies
Euphrates,Jazira,Persian Empire,3,6,8,,,Rahba,d_euphrates,867,CK3 Wiki List of duchies
Kurdistan,Jazira,Persian Empire,3,10,5,,,Irbil,d_kurdistan,867,CK3 Wiki List of duchies
Transylvanian Alps,Wallachia,Carpathia,3,10,3,,,Târgoviște,d_transylvanian_alps,867,CK3 Wiki List of duchies
Muntenia,Wallachia,Carpathia,5,16,3,,,Giurgiu,d_muntenia,867,CK3 Wiki List of duchies
Oltenia,Wallachia,Carpathia,4,13,3,,,Târgu Jiu,d_oltenia,867,CK3 Wiki List of duchies
Bukovina,Moldavia,Carpathia,4,13,2,Hotin Fort,,Suceava,d_bukovina,867,CK3 Wiki List of duchies
Moldavia,Moldavia,Carpathia,6,15,2,Grand Temple,,Iași,d_moldova,867,CK3 Wiki List of duchies
Bugeac,Moldavia,Carpathia,4,9,2,,Tyras (Greek),Tigheci,d_bugeac,867,CK3 Wiki List of duchies
Visegrad,Hungary,Carpathia,5,16,2,Visegrad CitadelGrand TempleGrand Cathedral,,Visegrad,d_visegrad,867,CK3 Wiki List of duchies
Somogy,Hungary,Carpathia,4,14,2,,"Balaton (Czech, Slovien, Polish, Pommeranian, Polabian, Croatian, Bosnian, Serbian)",Somogy,d_somogy,867,CK3 Wiki List of duchies
Nitra,Great Moravia,West-Slavia,9,28,4,Kremnica Mining SettlementGrand Temple,"Nyitra (Hungarian, Mogyer)",Nitra,d_nyitra,867,CK3 Wiki List of duchies
Ungvár,Hungary,Carpathia,6,17,2,,"Užhorod (Slovien, Czech)",Ungvár,d_ungvar,867,CK3 Wiki List of duchies
Transcarpathia,Hungary,Carpathia,2,10,2,,,Marmaros,d_transcarpathia,867,CK3 Wiki List of duchies
Transylvania,Hungary,Carpathia,7,29,2,Verespatak Mining SettlementTorda Mining Pits,,Fehér,d_transylvania,867,CK3 Wiki List of duchies
Bihar,Hungary,Carpathia,5,22,2,,,Bihar,d_bihar,867,CK3 Wiki List of duchies
Temes,Hungary,Carpathia,5,14,2,,,Temes,d_temes,867,CK3 Wiki List of duchies
Bacs,Hungary,Carpathia,3,6,2,,,Bacs,d_bacs,867,CK3 Wiki List of duchies
Gyor,Hungary,Carpathia,4,11,2,,"Ráb (Czech, Slovien, Polish, Pommeranian, Polabian, Croatian, Bosnian, Serbian)",Gyor,d_gyor,867,CK3 Wiki List of duchies
Syrmia,Serbia,Byzantine Empire,1,3,5,,,Szerém,d_syrmia,867,CK3 Wiki List of duchies
Valois,France,Francia,7,26,9,Notre-DameUniversity,,Isle de France,d_valois,867,CK3 Wiki List of duchies
Berry,France,Francia,4,12,6,,,Berry,d_berry,867,CK3 Wiki List of duchies
Anjou,France,Francia,4,13,5,,,Anjou,d_anjou,867,CK3 Wiki List of duchies
Normandy,France,Francia,7,21,5,,Neustria (867)Normandy (1066),Rouen,d_normandy,867,CK3 Wiki List of duchies
Orleans,France,Francia,5,16,6,,,Orléans,d_orleans,867,CK3 Wiki List of duchies
Champagne,France,Francia,7,24,8,,,Reims,d_champagne,867,CK3 Wiki List of duchies
Burgundy,France,Francia,8,23,5,Cluny Abbey,,Dijon,d_burgundy,867,CK3 Wiki List of duchies
Flanders,France,Francia,5,16,5,,,Brugge,d_flanders,867,CK3 Wiki List of duchies
Gascogne,Aquitaine,Francia,5,16,6,Grand Temple,,Bordeaux,d_gascogne,867,CK3 Wiki List of duchies
Aquitaine,Aquitaine,Francia,5,17,6,,,Angoulême,d_aquitaine,867,CK3 Wiki List of duchies
Toulouse,Aquitaine,Francia,5,18,5,,,Toulouse,d_toulouse,867,CK3 Wiki List of duchies
Languedoc,Aquitaine,Francia,6,16,5,Grand CathedralCévennes Mining Settlement,,Albi,d_languedoc,867,CK3 Wiki List of duchies
Armagnac,Aquitaine,Francia,4,13,5,,,Armagnac,d_armagnac,867,CK3 Wiki List of duchies
Poitiers,Aquitaine,Francia,4,14,5,,,Poitiers,d_poitou,867,CK3 Wiki List of duchies
Auvergne,Aquitaine,Francia,4,11,5,,,Auvergne,d_auvergne,867,CK3 Wiki List of duchies
Bourbon,Aquitaine,Francia,4,11,5,,,Bourbon,d_bourbon,867,CK3 Wiki List of duchies
Brittany,Brittany,Francia,6,17,5,,,Vannes,d_brittany,867,CK3 Wiki List of duchies
Provence,Burgundy,Francia,4,19,6,,,Venaissin,d_provence,867,CK3 Wiki List of duchies
Savoy,Burgundy,Francia,4,13,6,,,Savoie,d_savoie,867,CK3 Wiki List of duchies
Viennois,Burgundy,Francia,5,15,5,Grand Cathedral,,Lyon,d_dauphine,867,CK3 Wiki List of duchies
Upper Burgundy,Burgundy,Francia,3,11,5,,,Besancon,d_upper_burgundy,867,CK3 Wiki List of duchies
Transjurania,Burgundy,Francia,3,7,5,,,Bern,d_transjurania,867,CK3 Wiki List of duchies
Cordoba,Andalusia,Hispania,4,12,12,The Great Mosque of Cordoba,"Qurtubah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Cordoba,d_cordoba,867,CK3 Wiki List of duchies
Granada,Andalusia,Hispania,4,11,10,Alhambra Fortress Ruins,"Garnatah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Granada,d_granada,867,CK3 Wiki List of duchies
Seville,Andalusia,Hispania,5,16,11,Rock of Gibraltar,"Isbiliyyah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Sevilla,d_sevilla,867,CK3 Wiki List of duchies
Toledo,Andalusia,Hispania,6,23,10,City Walls of ToledoUniversity,"Tulaytulah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Toledo,d_toledo,867,CK3 Wiki List of duchies
Beja,Badajoz,Hispania,4,12,8,,"Baya (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Lisboa,d_beja,867,CK3 Wiki List of duchies
Badajoz,Badajoz,Hispania,5,15,8,,"Batalyaws (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Badajoz,d_badajoz,867,CK3 Wiki List of duchies
Algarve,Badajoz,Hispania,2,5,8,,"al-Gharb (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Faro,d_algarve,867,CK3 Wiki List of duchies
València,Valencia,Hispania,5,14,8,,"Balansiyyah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Valencia,d_valencia,867,CK3 Wiki List of duchies
Mallorca,Valencia,Hispania,3,4,4,,"Mayurqa (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Mallorca,d_mallorca,867,CK3 Wiki List of duchies
Murcia,Valencia,Hispania,3,13,8,Grand Temple,"Mursiyyah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Murcia,d_murcia,867,CK3 Wiki List of duchies
Castile,Castile,Hispania,5,16,6,Alcázar of Segovia,"al-Quila (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Burgos,d_castilla,867,CK3 Wiki List of duchies
Cantabria,Castile,Hispania,2,7,6,,,Asturias de Santillana,d_cantabria,867,CK3 Wiki List of duchies
Aragon,Valencia,Hispania,8,22,7,AljaferíaGrand Temple,"Saraqustah (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Zaragoza,d_aragon,867,CK3 Wiki List of duchies
Barcelona,Aquitaine,Francia,8,26,5,DrassanesUniversity,"Barshiluna (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)Gothia (French, Occitan)",Barcelona,d_barcelona,867,CK3 Wiki List of duchies
Navarra,Navarra,Hispania,3,8,7,,,Navarra,d_navarra,867,CK3 Wiki List of duchies
Viscaya,Navarra,Hispania,2,4,7,Grand Temple,,Viscaya,d_viscaya,867,CK3 Wiki List of duchies
León,Asturias,Hispania,5,17,4,University,"Liyyun (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Leon,d_leon,867,CK3 Wiki List of duchies
Asturias,Asturias,Hispania,2,8,3,,,Asturias de Oviedo,d_asturias,867,CK3 Wiki List of duchies
Galicia,Galicia,Hispania,5,18,5,Farum BrigantiumCathedral of Santiago de CompostelaRoman Walls of Lugo,"Yilliqiyya (Bedouin, Baranis, Butr, Zaghawa, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Coruna,d_galicia,867,CK3 Wiki List of duchies
